<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CDR,D,19950608,000000,6.75701,6.75701,6.75701,6.75701,39567.91914375,0
CDR,D,19950609,000000,6.56826,6.56826,6.56826,6.56826,33976.844060982,0
CDR,D,19950612,000000,6.19075,6.19075,6.19075,6.19075,65843.143154869,0
CDR,D,19950613,000000,6.3701,6.3701,6.3701,6.3701,52381.725662496,0
CDR,D,19950614,000000,6.56826,6.56826,6.56826,6.56826,67798.099838128,0
CDR,D,19950616,000000,6.17195,6.17195,6.17195,6.17195,50246.933170648,0
CDR,D,19950619,000000,6.17195,6.17195,6.17195,6.17195,27878.591585452,0
CDR,D,19950620,000000,6.3701,6.3701,6.3701,6.3701,38870.802807084,0
CDR,D,19950621,000000,6.3701,6.3701,6.3701,6.3701,19794.062707189,0
CDR,D,19950622,000000,6.26627,6.26627,6.26627,6.26627,20579.076321087,0
CDR,D,19950623,000000,6.40781,6.40781,6.40781,6.40781,14983.959984193,0
CDR,D,19950626,000000,6.73811,6.73811,6.73811,6.73811,45168.0870483,0
CDR,D,19950627,000000,6.75701,6.75701,6.75701,6.75701,55836.997939884,0
CDR,D,19950628,000000,6.20976,6.20976,6.20976,6.20976,29069.751238972,0
CDR,D,19950629,000000,6.3701,6.3701,6.3701,6.3701,76102.877066236,0
CDR,D,19950630,000000,6.3701,6.3701,6.3701,6.3701,90080.564773155,0
CDR,D,19950703,000000,6.46453,6.46453,6.46453,6.46453,68442.679871162,0
CDR,D,19950704,000000,6.22856,6.22856,6.22856,6.22856,27532.054044181,0
CDR,D,19950705,000000,5.97379,5.97379,5.97379,5.97379,60865.328385662,0
CDR,D,19950706,000000,5.97379,5.97379,5.97379,5.97379,74428.787544707,0
CDR,D,19950707,000000,6.03041,6.03041,6.03041,6.03041,44931.673681952,0
CDR,D,19950710,000000,5.43584,5.43584,5.43584,5.43584,243561.33458226,0
CDR,D,19950711,000000,5.53967,5.53967,5.53967,5.53967,74384.333749325,0
CDR,D,19950712,000000,5.37922,5.37922,5.37922,5.37922,60678.420382353,0
CDR,D,19950713,000000,5.50186,5.50186,5.50186,5.50186,34458.76361546,0
CDR,D,19950714,000000,5.50186,5.50186,5.50186,5.50186,34093.030117093,0
CDR,D,19950717,000000,5.6528,5.6528,5.6528,5.6528,35001.301981822,0
CDR,D,19950718,000000,5.63389,5.63389,5.63389,5.63389,107321.5651865,0
CDR,D,19950719,000000,5.55847,5.55847,5.55847,5.55847,37871.602724529,0
CDR,D,19950720,000000,5.39803,5.39803,5.39803,5.39803,63881.114276891,0
CDR,D,19950721,000000,5.26589,5.26589,5.26589,5.26589,104983.69967484,0
CDR,D,19950724,000000,4.9639,4.9639,4.9639,4.9639,100863.64109379,0
CDR,D,19950725,000000,5.08674,5.08674,5.08674,5.08674,140406.30239925,0
CDR,D,19950726,000000,5.08674,5.08674,5.08674,5.08674,92817.504129718,0
CDR,D,19950727,000000,5.59618,5.59618,5.59618,5.59618,315747.22608725,0
CDR,D,19950728,000000,6.15304,6.15304,6.15304,6.15304,433761.94969009,0
CDR,D,19950731,000000,5.79444,5.79444,5.79444,5.79444,125887.0866395,0
CDR,D,19950801,000000,5.77553,5.77553,5.77553,5.77553,170728.84241716,0
CDR,D,19950802,000000,5.86996,5.86996,5.86996,5.86996,123597.71617735,0
CDR,D,19950803,000000,5.73772,5.73772,5.73772,5.73772,75579.534656971,0
CDR,D,19950804,000000,5.63389,5.63389,5.63389,5.63389,21198.398515835,0
CDR,D,19950807,000000,5.68121,5.68121,5.68121,5.68121,70197.594475203,0
CDR,D,19950808,000000,5.41693,5.41693,5.41693,5.41693,30071.982262121,0
CDR,D,19950809,000000,5.36032,5.36032,5.36032,5.36032,63414.349425384,0
CDR,D,19950810,000000,5.61509,5.61509,5.61509,5.61509,101377.89068127,0
CDR,D,19950811,000000,5.57738,5.57738,5.57738,5.57738,69289.322610475,0
CDR,D,19950816,000000,5.75673,5.75673,5.75673,5.75673,90783.74299101,0
CDR,D,19950817,000000,5.75673,5.75673,5.75673,5.75673,72711.254541327,0
CDR,D,19950818,000000,5.75673,5.75673,5.75673,5.75673,69671.221125344,0
CDR,D,19950821,000000,5.53967,5.53967,5.53967,5.53967,18955.502476127,0
CDR,D,19950822,000000,5.77553,5.77553,5.77553,5.77553,162937.304463,0
CDR,D,19950823,000000,5.77553,5.77553,5.77553,5.77553,87875.050334109,0
CDR,D,19950824,000000,5.71892,5.71892,5.71892,5.71892,33062.510315065,0
CDR,D,19950825,000000,5.75673,5.75673,5.75673,5.75673,45346.912543358,0
CDR,D,19950828,000000,5.97379,5.97379,5.97379,5.97379,86396.961637671,0
CDR,D,19950829,000000,6.06812,6.06812,6.06812,6.06812,137296.5573496,0
CDR,D,19950830,000000,6.06812,6.06812,6.06812,6.06812,90844.361802894,0
CDR,D,19950831,000000,6.06812,6.06812,6.06812,6.06812,132435.93895004,0
CDR,D,19950901,000000,6.17195,6.17195,6.17195,6.17195,106248.61221615,0
CDR,D,19950904,000000,6.46453,6.46453,6.46453,6.46453,120649.62129273,0
CDR,D,19950905,000000,6.62487,6.62487,6.62487,6.62487,182852.60479396,0
CDR,D,19950906,000000,6.66268,6.66268,6.66268,6.66268,105747.49670458,0
CDR,D,19950907,000000,6.75701,6.75701,6.75701,6.75701,154200.11304346,0
CDR,D,19950908,000000,7.04009,7.04009,7.04009,7.04009,144669.82550176,0
CDR,D,19950911,000000,7.37048,7.37048,7.37048,7.37048,180754.18358924,0
CDR,D,19950912,000000,7.33267,7.33267,7.33267,7.33267,115787.99257963,0
CDR,D,19950913,000000,7.15342,7.15342,7.15342,7.15342,165621.70751593,0
CDR,D,19950914,000000,7.38939,7.38939,7.38939,7.38939,143338.23226738,0
CDR,D,19950915,000000,7.31387,7.31387,7.31387,7.31387,157397.75537034,0
CDR,D,19950918,000000,6.95527,6.95527,6.95527,6.95527,104197.67574741,0
CDR,D,19950919,000000,6.26627,6.26627,6.26627,6.26627,96599.107677748,0
CDR,D,19950920,000000,6.22856,6.22856,6.22856,6.22856,110538.40347047,0
CDR,D,19950921,000000,6.32289,6.32289,6.32289,6.32289,132524.8465408,0
CDR,D,19950922,000000,6.24747,6.24747,6.24747,6.24747,50413.634903329,0
CDR,D,19950925,000000,6.28518,6.28518,6.28518,6.28518,53038.429457906,0
CDR,D,19950926,000000,6.3701,6.3701,6.3701,6.3701,76967.705449115,0
CDR,D,19950927,000000,6.56826,6.56826,6.56826,6.56826,84172.251241528,0
CDR,D,19950928,000000,5.91707,5.91707,5.91707,5.91707,214267.29373931,0
CDR,D,19950929,000000,6.28518,6.28518,6.28518,6.28518,91764.757429999,0
CDR,D,19951002,000000,6.3701,6.3701,6.3701,6.3701,71387.743815193,0
CDR,D,19951003,000000,6.32289,6.32289,6.32289,6.32289,45992.502889922,0
CDR,D,19951004,000000,5.97379,5.97379,5.97379,5.97379,41606.731850115,0
CDR,D,19951005,000000,5.86996,5.86996,5.86996,5.86996,53884.061883688,0
CDR,D,19951006,000000,6.06812,6.06812,6.06812,6.06812,49084.062296006,0
CDR,D,19951009,000000,5.79444,5.79444,5.79444,5.79444,24420.288367469,0
CDR,D,19951010,000000,5.73772,5.73772,5.73772,5.73772,64069.032593731,0
CDR,D,19951011,000000,5.71892,5.71892,5.71892,5.71892,66567.537956883,0
CDR,D,19951012,000000,5.71892,5.71892,5.71892,5.71892,45045.839111,0
CDR,D,19951013,000000,5.68121,5.68121,5.68121,5.68121,53815.360563552,0
CDR,D,19951016,000000,5.63389,5.63389,5.63389,5.63389,24126.287129832,0
CDR,D,19951017,000000,5.77553,5.77553,5.77553,5.77553,76014.979789005,0
CDR,D,19951018,000000,5.73772,5.73772,5.73772,5.73772,31381.348598815,0
CDR,D,19951019,000000,5.57738,5.57738,5.57738,5.57738,41682.50536497,0
CDR,D,19951020,000000,5.26589,5.26589,5.26589,5.26589,23657.501651262,0
CDR,D,19951023,000000,5.26589,5.26589,5.26589,5.26589,57381.767329394,0
CDR,D,19951024,000000,5.16216,5.16216,5.16216,5.16216,48311.172444485,0
CDR,D,19951025,000000,5.16216,5.16216,5.16216,5.16216,39018.308582668,0
CDR,D,19951026,000000,5.26589,5.26589,5.26589,5.26589,39049.628302141,0
CDR,D,19951027,000000,5.46415,5.46415,5.46415,5.46415,68135.544557616,0
CDR,D,19951030,000000,5.46415,5.46415,5.46415,5.46415,16574.193482617,0
CDR,D,19951031,000000,5.3037,5.3037,5.3037,5.3037,38003.953797142,0
CDR,D,19951102,000000,5.46415,5.46415,5.46415,5.46415,14833.423268015,0
CDR,D,19951103,000000,5.57738,5.57738,5.57738,5.57738,64627.735976595,0
CDR,D,19951106,000000,5.70001,5.70001,5.70001,5.70001,66269.49546512,0
CDR,D,19951107,000000,5.68121,5.68121,5.68121,5.68121,33645.461222683,0
CDR,D,19951108,000000,5.73772,5.73772,5.73772,5.73772,45591.408417956,0
CDR,D,19951109,000000,5.55847,5.55847,5.55847,5.55847,13492.737211847,0
CDR,D,19951110,000000,5.3037,5.3037,5.3037,5.3037,26779.370463288,0
CDR,D,19951113,000000,5.28489,5.28489,5.28489,5.28489,35967.16171784,0
CDR,D,19951114,000000,5.28489,5.28489,5.28489,5.28489,42684.736388119,0
CDR,D,19951115,000000,5.32261,5.32261,5.32261,5.32261,68678.082923978,0
CDR,D,19951116,000000,5.24708,5.24708,5.24708,5.24708,27180.464935254,0
CDR,D,19951117,000000,5.26589,5.26589,5.26589,5.26589,24704.186469793,0
CDR,D,19951120,000000,4.9639,4.9639,4.9639,4.9639,66134.113451913,0
CDR,D,19951121,000000,5.12445,5.12445,5.12445,5.12445,43707.173681895,0
CDR,D,19951122,000000,5.32261,5.32261,5.32261,5.32261,27999.82920922,0
CDR,D,19951123,000000,5.32261,5.32261,5.32261,5.32261,38331.295381316,0
CDR,D,19951124,000000,5.18097,5.18097,5.18097,5.18097,21318.625826071,0
CDR,D,19951127,000000,5.26589,5.26589,5.26589,5.26589,32301.744225921,0
CDR,D,19951128,000000,5.18097,5.18097,5.18097,5.18097,43114.119638964,0
CDR,D,19951129,000000,5.24708,5.24708,5.24708,5.24708,59602.436471412,0
CDR,D,19951130,000000,5.43584,5.43584,5.43584,5.43584,77479.934409535,0
CDR,D,19951201,000000,5.57738,5.57738,5.57738,5.57738,49569.012791078,0
CDR,D,19951204,000000,5.57738,5.57738,5.57738,5.57738,96270.755780043,0
CDR,D,19951205,000000,5.77553,5.77553,5.77553,5.77553,97401.29662168,0
